s3_zip_name	s3_zip_size
flight_10_19/flight_10_19_price_2017-05-28.zip	13986010
flight_10_19/flight_10_19_price_2017-05-29.zip	14028845
flight_10_19/flight_10_19_price_2017-05-30.zip	14106774
flight_10_19/flight_10_19_price_2017-05-31.zip	14067501
flight_10_19/flight_10_19_price_2017-06-01.zip	14322833
flight_10_19/flight_10_19_price_2017-06-02.zip	14295221
flight_10_19/flight_10_19_price_2017-06-03.zip	14299013
flight_10_19/flight_10_19_price_2017-06-04.zip	14305992
flight_10_19/flight_10_19_price_2017-06-05.zip	14364101
flight_10_19/flight_10_19_price_2017-06-06.zip	14391958
flight_10_19/flight_10_19_price_2017-06-07.zip	14377730
flight_10_19/flight_10_19_price_2017-06-08.zip	14381431
flight_10_19/flight_10_19_price_2017-06-09.zip	14361799
flight_10_19/flight_10_19_price_2017-06-10.zip	14399100
flight_10_19/flight_10_19_price_2017-06-11.zip	14169107
flight_10_19/flight_10_19_price_2017-06-12.zip	14433587
flight_10_19/flight_10_19_price_2017-06-13.zip	14482538
flight_10_19/flight_10_19_price_2017-06-14.zip	14480031
flight_10_19/flight_10_19_price_2017-06-15.zip	14460456
flight_10_19/flight_10_19_price_2017-06-16.zip	14617810
flight_10_19/flight_10_19_price_2017-06-17.zip	14543515
flight_10_19/flight_10_19_price_2017-06-18.zip	14597913
flight_10_19/flight_10_19_price_2017-06-19.zip	14391377
flight_10_19/flight_10_19_price_2017-06-20.zip	14272376
flight_10_19/flight_10_19_price_2017-06-21.zip	13811482
flight_10_19/flight_10_19_price_2017-06-22.zip	14276785
flight_10_19/flight_10_19_price_2017-06-24.zip	14715756
flight_10_19/flight_10_19_price_2017-06-26.zip	14562383
flight_10_19/flight_10_19_price_2017-06-28.zip	13831037
flight_10_2/flight_10_2_price_2017-05-15.zip	13545948
flight_10_2/flight_10_2_price_2017-05-16.zip	13819427
flight_10_2/flight_10_2_price_2017-05-17.zip	8707229
flight_10_2/flight_10_2_price_2017-05-18.zip	13585806
flight_10_2/flight_10_2_price_2017-05-19.zip	13658314
flight_10_2/flight_10_2_price_2017-05-20.zip	13628789
flight_10_2/flight_10_2_price_2017-05-21.zip	13410726
flight_10_2/flight_10_2_price_2017-05-22.zip	13598916
flight_10_2/flight_10_2_price_2017-05-23.zip	13611865
flight_10_2/flight_10_2_price_2017-05-24.zip	13644676
flight_10_2/flight_10_2_price_2017-05-25.zip	13698483
flight_10_2/flight_10_2_price_2017-05-26.zip	13608002
flight_10_2/flight_10_2_price_2017-05-27.zip	13361641
flight_10_2/flight_10_2_price_2017-05-28.zip	13630027
flight_10_2/flight_10_2_price_2017-05-29.zip	13610802
flight_10_2/flight_10_2_price_2017-05-30.zip	13965941
flight_10_2/flight_10_2_price_2017-05-31.zip	13983233
flight_10_2/flight_10_2_price_2017-06-01.zip	12117134
flight_10_2/flight_10_2_price_2017-06-02.zip	14093039
flight_10_2/flight_10_2_price_2017-06-03.zip	13596516
flight_10_2/flight_10_2_price_2017-06-04.zip	12211205
flight_10_2/flight_10_2_price_2017-06-05.zip	13536135
flight_10_2/flight_10_2_price_2017-06-06.zip	13514236
flight_10_2/flight_10_2_price_2017-06-07.zip	13495077
flight_10_2/flight_10_2_price_2017-06-08.zip	14022947
flight_10_2/flight_10_2_price_2017-06-09.zip	13869633
flight_10_2/flight_10_2_price_2017-06-10.zip	13913875
flight_10_2/flight_10_2_price_2017-06-11.zip	13507843
flight_10_2/flight_10_2_price_2017-06-12.zip	13916170
flight_10_2/flight_10_2_price_2017-06-13.zip	13942853
flight_10_2/flight_10_2_price_2017-06-14.zip	13967392
flight_10_2/flight_10_2_price_2017-06-15.zip	14262357
flight_10_2/flight_10_2_price_2017-06-16.zip	14414606
flight_10_2/flight_10_2_price_2017-06-17.zip	14321824
flight_10_2/flight_10_2_price_2017-06-18.zip	14452927
flight_10_2/flight_10_2_price_2017-06-19.zip	14087714
flight_10_2/flight_10_2_price_2017-06-20.zip	13890448
flight_10_2/flight_10_2_price_2017-06-21.zip	13683843
flight_10_2/flight_10_2_price_2017-06-22.zip	13787857
flight_10_2/flight_10_2_price_2017-06-24.zip	14394537
flight_10_2/flight_10_2_price_2017-06-26.zip	13051938
flight_10_2/flight_10_2_price_2017-06-28.zip	13176789
flight_10_2/flight_10_2_price_2017-06-30.zip	9981
flight_10_20/flight_10_20_price_2017-05-15.zip	12766959
flight_10_20/flight_10_20_price_2017-05-16.zip	12815006
flight_10_20/flight_10_20_price_2017-05-17.zip	12762029
flight_10_20/flight_10_20_price_2017-05-18.zip	12502415
flight_10_20/flight_10_20_price_2017-05-19.zip	12597462
