12-05 11:31:08.337 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:09.344 172.17.0.2:54321      253    #read-459 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:07.996 172.17.0.2:54321      253    #read-475 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:09.683 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:07.661 172.17.0.2:54321      253    #read-470 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:09.683 172.17.0.2:54321      253    #read-474 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:09.010 172.17.0.2:54321      253    #read-467 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:10.524 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:10.524 172.17.0.2:54321      253    #read-470 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:10.524 172.17.0.2:54321      253    #read-475 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
